Date,Vaccinated_people,Confirmed_cases
7/15/2021,29033376,27688
7/16/2021,0,31060
7/17/2021,29484796,0
7/18/2021,212895,0
7/19/2021,258788,61628
7/20/2021,260832,27286
7/21/2021,282692,30587
7/22/2021,30500003,29535
7/23/2021,0,31171
7/24/2021,30827932,0
7/25/2021,168296,0
7/26/2021,318912,61625
7/27/2021,277304,26399
7/28/2021,259174,27149
7/29/2021,31851618,26689
7/30/2021,0,24753
7/31/2021,32169472,0
8/1/2021,183346,0
8/2/2021,297932,55939
8/3/2021,241930,20327
8/4/2021,248770,21874
8/5/2021,33141450,21387
8/6/2021,0,21561
8/7/2021,33424529,0
8/8/2021,151432,0
8/9/2021,295497,39638
8/10/2021,325303,15680
8/11/2021,258782,17023
8/12/2021,34455543,17410
8/13/2021,0,15657
8/14/2021,34716227,0
8/15/2021,151251,0
8/16/2021,205432,25726
8/17/2021,196366,14336
8/18/2021,172897,11956
8/19/2021,35442173,12445
8/20/2021,0,12450
8/21/2021,35667383,0
8/22/2021,164346,0
8/23/2021,118636,23899
8/24/2021,160840,10072
8/25/2021,126312,10781
8/26/2021,36237517,7115
8/27/2021,0,9489
8/28/2021,36346563,0
8/29/2021,84853,0
8/30/2021,101912,15489
8/31/2021,80368,7767
9/1/2021,83181,6818
9/2/2021,36696877,9561
9/3/2021,0,6311
9/4/2021,36820586,0
9/5/2021,69301,0
9/6/2021,118384,9357
9/7/2021,59364,5528
9/8/2021,59109,5618
9/9/2021,37126744,4763
9/10/2021,0,4440
9/11/2021,37216507,0
9/12/2021,26713,0
9/13/2021,59982,7804
